15	10	E	-9769864.20597139	8
emissionprobs	5	5	H3K4me2	0	0.9290794281264871
emissionprobs	5	5	H3K4me2	1	0.07092057187351292
emissionprobs	5	6	H3K4me3	0	0.9981378112891902
emissionprobs	5	6	H3K4me3	1	0.0018621887108098863
emissionprobs	5	7	H3K79me2	0	0.9896522100855312
emissionprobs	5	7	H3K79me2	1	0.010347789914468736
emissionprobs	5	8	H3K9ac	0	0.9613156237901234
emissionprobs	5	8	H3K9ac	1	0.038684376209876616
emissionprobs	5	9	H3K9me3	0	0.9897296720471129
emissionprobs	5	9	H3K9me3	1	0.010270327952887114
emissionprobs	6	0	H2A.Z	0	0.4876099088939025
emissionprobs	6	0	H2A.Z	1	0.5123900911060976
emissionprobs	6	1	H3K27ac	0	0.812548075026481
emissionprobs	6	1	H3K27ac	1	0.18745192497351898
emissionprobs	6	2	H3K27me3	0	0.999202328100059
emissionprobs	6	2	H3K27me3	1	7.976718999409503E-4
emissionprobs	6	3	H3K36me3	0	0.9879576425205919
emissionprobs	6	3	H3K36me3	1	0.01204235747940813
emissionprobs	6	4	H3K4me1	0	0.07793798884512444
emissionprobs	6	4	H3K4me1	1	0.9220620111548755
emissionprobs	6	5	H3K4me2	0	0.03549606085414429
emissionprobs	6	5	H3K4me2	1	0.9645039391458556
emissionprobs	6	6	H3K4me3	0	0.6898176028410078
emissionprobs	6	6	H3K4me3	1	0.31018239715899215
emissionprobs	6	7	H3K79me2	0	0.9868803554482461
emissionprobs	6	7	H3K79me2	1	0.013119644551753747
emissionprobs	6	8	H3K9ac	0	0.7225030333207347
emissionprobs	6	8	H3K9ac	1	0.2774969666792653
emissionprobs	6	9	H3K9me3	0	0.9951812793111532
emissionprobs	6	9	H3K9me3	1	0.004818720688846737
emissionprobs	7	0	H2A.Z	0	0.42094003879105835
emissionprobs	7	0	H2A.Z	1	0.5790599612089415
emissionprobs	7	1	H3K27ac	0	0.0870116247670165
emissionprobs	7	1	H3K27ac	1	0.9129883752329835
emissionprobs	7	2	H3K27me3	0	0.9997582154130932
emissionprobs	7	2	H3K27me3	1	2.4178458690689414E-4
emissionprobs	7	3	H3K36me3	0	0.9610730161625113
emissionprobs	7	3	H3K36me3	1	0.038926983837488695
emissionprobs	7	4	H3K4me1	0	0.025670262329609627
emissionprobs	7	4	H3K4me1	1	0.9743297376703903
emissionprobs	7	5	H3K4me2	0	0.15855308052092104
emissionprobs	7	5	H3K4me2	1	0.8414469194790789
emissionprobs	7	6	H3K4me3	0	0.4664650482057561
emissionprobs	7	6	H3K4me3	1	0.5335349517942438
emissionprobs	7	7	H3K79me2	0	0.9346736231295735
emissionprobs	7	7	H3K79me2	1	0.06532637687042649
emissionprobs	7	8	H3K9ac	0	0.029103367274341832
emissionprobs	7	8	H3K9ac	1	0.9708966327256581
emissionprobs	7	9	H3K9me3	0	0.9889130718566561
emissionprobs	7	9	H3K9me3	1	0.011086928143343852
emissionprobs	8	0	H2A.Z	0	0.04563817962995572
emissionprobs	8	0	H2A.Z	1	0.9543618203700442
emissionprobs	8	1	H3K27ac	0	0.032645178456941794
emissionprobs	8	1	H3K27ac	1	0.9673548215430582
emissionprobs	8	2	H3K27me3	0	0.9712573652749962
emissionprobs	8	2	H3K27me3	1	0.02874263472500384
emissionprobs	8	3	H3K36me3	0	0.9988698123762905
emissionprobs	8	3	H3K36me3	1	0.0011301876237095987
emissionprobs	8	4	H3K4me1	0	0.7151503117022718
emissionprobs	8	4	H3K4me1	1	0.2848496882977281
emissionprobs	8	5	H3K4me2	0	0.0373936504477601
emissionprobs	8	5	H3K4me2	1	0.9626063495522399
emissionprobs	8	6	H3K4me3	0	0.003527116969769241
emissionprobs	8	6	H3K4me3	1	0.9964728830302307
emissionprobs	8	7	H3K79me2	0	0.9267154813521443
emissionprobs	8	7	H3K79me2	1	0.07328451864785573
emissionprobs	8	8	H3K9ac	0	0.0226827071522654
emissionprobs	8	8	H3K9ac	1	0.9773172928477346
emissionprobs	8	9	H3K9me3	0	0.9948519358042798
emissionprobs	8	9	H3K9me3	1	0.005148064195720307
emissionprobs	9	0	H2A.Z	0	0.6405178959593716
emissionprobs	9	0	H2A.Z	1	0.3594821040406285
emissionprobs	9	1	H3K27ac	0	0.1675925868562844
emissionprobs	9	1	H3K27ac	1	0.8324074131437156
